Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;3.3;2.2;125773.0;1.0;3.0;5.0;41.14;58.86;2812;7.358944834083533
Fev;40315;0.0;8.0;3.8;2.1;154719.0;2.0;4.0;5.0;47.97;52.03;1931;4.789780478730001
Mars;20928;0.0;8.0;3.1;2.4;65762.0;1.0;2.0;5.0;39.28;60.72;1862;8.89717125382263
Avril;4729;3.0;8.0;5.6;1.2;26661.0;5.0;5.0;7.0;70.47;29.53;0;0.0
Mai;40348;0.0;8.0;4.7;2.5;191280.0;3.0;5.0;7.0;59.26;40.74;2522;6.250619609398235
Juin;17094;0.0;8.0;3.9;2.5;66526.0;2.0;4.0;6.0;48.65;51.35;1671;9.775359775359775
Juil;28163;0.0;8.0;4.4;2.2;123556.0;3.0;4.0;6.0;54.84;45.16;546;1.9387139154209425
Aout;39378;0.0;8.0;4.5;2.2;179102.0;3.0;4.0;6.0;56.85;43.15;1692;4.296815480725278
Sept;5239;1.0;8.0;6.0;1.8;31277.0;5.0;6.0;8.0;74.63;25.370000000000005;0;0.0
Oct;26797;0.0;8.0;4.8;2.2;129298.0;3.0;5.0;7.0;60.31;39.69;897;3.3473896331678916
Nov;42299;1.0;7.0;4.6;1.6;195721.0;4.0;5.0;6.0;57.84;42.16;0;0.0
Dec;43197;0.0;8.0;4.1;2.1;175810.0;2.0;4.0;6.0;50.87;49.13;1227;2.840475032988402
